 namefirst , namelast  , birthday , birthmonth , birthyear , weight , height 
 Ryan      , Kalish     ,28,3,1988,205,73.2
 Aroldis   , Chapman    ,null,2,1988,185,76.4
 Ben       , Revere     ,3,null,1988,175,69.9
 Hank      , Conger     ,29,1,null,220,73.1
 Osvaldo   , Martinez   ,7,5,1988,null,70.0
 Justin    , Upton      ,25,8,1987,205,null
 Cameron   , Maybin     ,null,null,1987,210,75.4
 Jay       , Bruce      ,3,null,null,225,75.4
 Shairon   , Martis     ,30,3,1987,null,null
 Conor     , Gillaspie  ,18,7,1987,200,73.3
 Ryan
 Gerardo   , Parra      ,null,null,null,195,71.6
 Sean      , O'Sullivan ,	1 	,	9 	,	1987	,	230	,	74
 Mat       , Latos      , 9 , 12 , 1987 , 225 , 78.3 
 Josh      , Reddick    ,null,	null ,	null,null, null
 
 
 
 
